name,country_code,city_proper_pop,metroarea_pop,urbanarea_pop
Abidjan,CIV,4765000,null,4765000
Abu Dhabi,ARE,1145000,null,1145000
Abuja,NGA,1235880,6000000,1235880
Accra,GHA,2070463,4010054,2070463
Addis Ababa,ETH,3103673,4567857,3103673
Ahmedabad,IND,5570585,null,5570585
Alexandria,EGY,4616625,null,4616625
Algiers,DZA,3415811,5000000,3415811
Almaty,KAZ,1703481,null,1703481
Ankara,TUR,5271000,4585000,5271000
Auckland,NZL,1495000,1614300,1495000
Baghdad,IRQ,7180889,null,7180889
Baku,AZE,3202300,4308740,3202300
Bandung,IDN,2575478,6965655,2575478
Bangkok,THA,8280925,14998000,8280925
Barcelona,ESP,1604555,5375774,1604555
Barranquilla,COL,1386865,2370753,1386865
Basra,IRQ,2750000,null,2750000
Beijing,CHN,21516000,24900000,21516000
Belo Horizonte,BRA,2502557,5156217,2502557
Bengaluru,IND,8425970,9807000,8425970
Berlin,DEU,3517424,5871022,3517424
Bhopal,IND,1798218,1864389,1798218
Birmingham,GBR,1111300,3683000,1111300
Bogota,COL,7878783,9800000,7878783
Brasilia,BRA,2556149,3919864,2556149
Brazzaville,COG,1827000,null,1827000
Brisbane,AUS,1180285,2349699,1180285
Bucharest,ROM,1883425,2272163,1883425
Budapest,HUN,1759407,2927944,1759407
Buenos Aires,ARG,3054300,14122000,3054300
Busan,KOR,3510833,8202239,3510833
Cairo,EGY,10230350,18290000,10230350
Calgary,CAN,1235171,1214839,1235171
Cali,COL,2400653,3400000,2400653
Caloocan,PHL,1583978,null,1583978
Campinas,BRA,1164098,3094181,1164098
Cape Town,ZAF,3740026,null,3740026
Caracas,VEN,1943901,2923959,1943901
Casablanca,MAR,5117832,6861739,5117832
Changchun,CHN,3815270,7674439,3815270
Changsha,CHN,7044118,null,7044118
Chaozhou,CHN,2669844,null,2669844
Chengdu,CHN,4741929,10376000,4741929
Chennai,IND,7088000,null,7088000
Chicago,USA,2695598,9156000,2695598
Chittagong,BGD,2581643,4009423,2581643
Chongqing,CHN,8189800,52100100,8189800
Cologne,DEU,1057327,3573500,1057327
Cordoba,ARG,1330023,1528000,1330023
Curitiba,BRA,1879355,3400000,1879355
Daegu,KOR,2492994,null,2492994
Daejeon,KOR,1535028,null,1535028
Dakar,SEN,1146053,2452656,1146053
Dalian,CHN,2146099,5935638,2146099
Dallas,USA,1317929,7233323,1317929
Dar es Salaam,TZA,4364541,null,4364541
Davao City,PHL,1632991,2516216,1632991
Delhi,IND,16787940,24998000,16787940
Dhaka,BGD,14543124,null,14543124
Dongguan,CHN,8220207,null,8220207
Douala,CMR,2446945,null,2446945
Dubai,ARE,2643410,null,2643410
Durban,ZAF,3442361,null,3442361
Ekurhuleni,ZAF,3178470,null,3178470
Faisalabad,PAK,6480765,3675000,6480765
Fez,MAR,1112072,null,1112072
Fortaleza,BRA,2609716,4019213,2609716
Foshan,CHN,6151622,null,6151622
Fukuoka,JPN,1483052,5590378,1483052
Fuzhou,CHN,7115369,null,7115369
Giza,EGY,4239988,null,4239988
Guadalajara,MEX,1495189,4424252,1495189
Guangzhou,CHN,14043500,44259000,14043500
Guatemala City,GTM,2110100,4500000,2110100
Guayaquil,ECU,3600000,5000000,3600000
Gujranwala,PAK,2700003,null,2700003
Hamburg,DEU,1787408,null,1787408
Hangzhou,CHN,3560391,null,3560391
Hanoi,VNM,6844100,null,6844100
Harare,ZWE,1606000,null,1606000
Harbin,CHN,4280701,10635971,4280701
Havana,CUB,2106146,null,2106146
Hefei,CHN,3352076,null,3352076
Hiroshima,JPN,1196274,null,1196274
Ho Chi Minh City,VNM,7681700,null,7681700
Hong Kong,CHN,7374900,null,7374900
Houston,USA,2489558,6490180,2489558
Hyderabad (India),IND,7859250,null,7859250
Hyderabad,PAK,3429471,null,3429471
Ibadan,NGA,1338659,2837000,1338659
Incheon,KOR,2978367,null,2978367
Isfahan,IRN,2243249,null,2243249
Islamabad,PAK,1900000,2200000,1900000
Istanbul,TUR,14025000,13520000,14025000
Izmir,TUR,4168000,3019000,4168000
Jaipur,IND,3073350,null,3073350
Jakarta,IDN,10075310,30539000,10075310
Jeddah,SAU,3456259,null,3456259
Jinan,CHN,2009273,5853196,2009273
