name,country_code,city_proper_pop,metroarea_pop,urbanarea_pop
Abidjan,CIV,4765000,null,4765000
Abu Dhabi,ARE,1145000,null,1145000
Abuja,NGA,1235880,6000000,1235880
Accra,GHA,2070463,4010054,2070463
Addis Ababa,ETH,3103673,4567857,3103673
Ahmedabad,IND,5570585,null,5570585
Alexandria,EGY,4616625,null,4616625
Algiers,DZA,3415811,5000000,3415811
Almaty,KAZ,1703481,null,1703481
Ankara,TUR,5271000,4585000,5271000
Auckland,NZL,1495000,1614300,1495000
Baghdad,IRQ,7180889,null,7180889
Baku,AZE,3202300,4308740,3202300
Bandung,IDN,2575478,6965655,2575478
Bangkok,THA,8280925,14998000,8280925
Barcelona,ESP,1604555,5375774,1604555
Barranquilla,COL,1386865,2370753,1386865
Basra,IRQ,2750000,null,2750000
Beijing,CHN,21516000,24900000,21516000
Belo Horizonte,BRA,2502557,5156217,2502557
