"lang_id","code","name","percent","official"
1,"AFG","Dari",50,true
2,"AFG","Pashto",35,true
3,"AFG","Turkic",11,false
4,"AFG","Other",4,false
5,"ALB","Albanian",98.8,true
6,"ALB","Greek",0.5,false
7,"ALB","Other",0.6,false
8,"ALB","unspecified",0.1,false
9,"DZA","Arabic",null,true
10,"DZA","French",null,false
11,"DZA","Berber or Tamazight",null,true
12,"DZA","Shawiya",null,false
13,"DZA","Mzab",null,false
14,"DZA","Tuareg",null,false
15,"ASM","Samoan",88.6,false
16,"ASM","English",3.9,false
17,"ASM","Tongan",2.7,false
18,"ASM","Other",3,false
19,"ASM","Other",1.8,false
20,"AND","Catalan",null,true
21,"AND","French",null,false
22,"AND","Castilian",null,false
23,"AND","Portuguese",null,false
24,"AGO","Portuguese",71.2,true
25,"AGO","Umbundu",23,false
26,"AGO","Kikongo",8.2,false
27,"AGO","Kimbundu",7.8,false
28,"AGO","Chokwe",6.5,false
29,"AGO","Nhaneca",3.4,false
30,"AGO","Nganguela",3.1,false
31,"AGO","Fiote",2.4,false
32,"AGO","Kwanhama",2.3,false
33,"AGO","Muhumbi",2.1,false
34,"AGO","Luvale",1,false
35,"AGO","Other",3.6,false
36,"AIA","English",null,true
37,"ATG","English",null,true
38,"ATG","Antiguan creole",null,false
39,"ARG","Spanish",null,true
40,"ARG","Italian",null,false
41,"ARG","English",null,false
42,"ARG","German",null,false
43,"ARG","French",null,false
44,"ARG","indigenous",null,false
45,"ARM","Armenian",97.9,true
46,"ARM","Kurdish",1,false
47,"ARM","Other",1,false
48,"ABW","Papiamento",69.4,true
49,"ABW","Spanish",13.7,false
50,"ABW","English",7.1,false
51,"ABW","Dutch",6.1,true
52,"ABW","Chinese",1.5,false
53,"ABW","Other",1.7,false
54,"ABW","unspecified",0.4,false
55,"AUS","English",76.8,false
56,"AUS","Mandarin",1.6,false
57,"AUS","Italian",1.4,false
58,"AUS","Arabic",1.3,false
59,"AUS","Greek",1.2,false
60,"AUS","Cantonese",1.2,false
61,"AUS","Vietnamese",1.1,false
62,"AUS","Other",10.4,false
63,"AUS","unspecified",5,false
64,"AUT","German",88.6,true
65,"AUT","Turkish",2.3,false
66,"AUT","Serbian",2.2,false
67,"AUT","Croatian",1.6,true
68,"AUT","Other",5.3,false
69,"AZE","Azerbaijani",92.5,true
70,"AZE","Russian",1.4,false
71,"AZE","Armenian",1.4,false
72,"AZE","Other",4.7,false
73,"BHS","English",null,true
74,"BHS","Creole",null,false
75,"BHR","Arabic",null,true
76,"BHR","English",null,false
77,"BHR","Farsi",null,false
78,"BHR","Urdu",null,false
79,"BGD","Bangla",98.8,true
80,"BGD","Other",1.2,false
81,"BRB","English",null,true
82,"BRB","Bajan",null,false
83,"BLR","Russian",70.2,true
84,"BLR","Belarusian",23.4,true
85,"BLR","Other",3.1,false
86,"BLR","unspecified",3.3,false
87,"BEL","Dutch",60,true
88,"BEL","French",40,true
89,"BEL","German",1,true
90,"BLZ","English",62.9,true
91,"BLZ","Spanish",56.6,false
92,"BLZ","Creole",44.6,false
93,"BLZ","Maya",10.5,false
94,"BLZ","German",3.2,false
95,"BLZ","Garifuna",2.9,false
96,"BLZ","Other",1.8,false
97,"BLZ","unknown",0.3,false
98,"BLZ","none",0.2,false
99,"BEN","French",null,true
100,"BEN","Fon and Yoruba",null,false
101,"BEN","Tribal Languages",null,false
102,"BMU","English",null,true
103,"BMU","Portuguese",null,false
104,"BTN","Sharchhopka",28,false
105,"BTN","Dzongkha",24,true
106,"BTN","Lhotshamkha",22,false
107,"BTN","Other",26,false
108,"BOL","Spanish",60.7,true
109,"BOL","Quechua",21.2,true
110,"BOL","Aymara",14.6,true
111,"BOL","Foreign Languages",2.4,false
112,"BOL","Guarani",0.6,true
113,"BOL","Other",0.4,false
114,"BOL","none",0.1,false
115,"BIH","Bosnian",52.9,true
116,"BIH","Serbian",30.8,true
117,"BIH","Croatian",14.6,true
118,"BIH","Other",1.6,false
119,"BIH","No Answer",0.2,false
